Hour,T_out_C,T_in_C,CO2_ppm
533,1.5,8.216490912216262,400.0656832713085
534,1.8125,8.232325385196354,400.0296421811384
535,1.625,8.244861317002005,400.0134069301886
536,1.4,8.257827645486378,400.0060614744118
537,1.4,10.102778789044702,519.8161659164691
538,1.3375,10.498115362264445,727.081499507311
539,1.3624999999999998,10.637460321470778,834.4695558603562
540,1.2125,9.323028760661568,773.4669310652434
541,1.1,10.600387971896286,770.6191285560478
542,0.975,10.911070551752848,848.4556913584464
543,0.9625,11.053285830836453,886.6101604615287
544,1.0,11.190513363619637,904.4214158225116
545,0.8125,11.31842085416653,911.01669823017
546,0.8875,9.662056176323464,792.871032306535
547,0.6249999999999999,9.390765099376646,589.8344773603123
548,0.2125,9.382226284754404,484.6083773695578
549,0.0375,9.38296943493155,437.97455163683503
550,0.0,9.38246190410369,417.0446367459009
551,-0.375,9.383338471833609,407.6537556252964
552,-0.225,9.383745254984204,403.43962492976897
553,0.0,9.377262013195532,401.5516661715431
554,0.0,9.358859124631088,400.6969686307592
555,-0.625,9.332507177445542,400.31199048114206
556,-1.0,9.303548394152958,400.1399220933508
557,-0.875,9.286011584064529,400.0625610568828
558,-0.925,9.259954863927248,400.0279170191956
559,-0.25,9.240501168030898,400.01250252279664
560,0.325,9.217415949952404,400.0056259337503
561,0.3375,9.167208055510985,400.0025222942664
562,0.7375,9.125227727327385,400.0011369662418
563,1.125,9.094142380062337,400.00051236009546
564,1.825,9.065079604882156,400.0002298117131
565,2.2625,9.03440039337588,400.0001036495289
566,2.3,8.996648033225888,400.00004674267245
567,2.1125,8.96209340960758,400.0000209518078
568,2.25,8.948597214527219,400.0000093885521
569,2.525,8.954816975999643,400.00000421748
570,2.6625000000000005,8.96129909327518,400.0000018900857
571,2.825,8.971851513448875,400.0000008497314
572,2.4625,8.983944046354846,400.0000003816739
573,2.7,9.00718686547705,400.0000001707178
574,3.0,9.03902426830596,400.0000000767054
575,2.9375000000000004,9.0680233935447,400.0000000344751
576,2.3375,9.085901662160396,400.00000001545857
577,2.625,9.117680449309828,400.0000000069515
578,2.8125,9.15958134316364,400.000000003133
579,2.2625,9.178751428936078,400.0000000014092
580,2.125,9.19710063255446,400.0000000006369
581,1.95,9.215939216031083,400.0000000002879
582,1.925,9.233870022661874,400.0000000001296
583,1.75,9.246692240435404,400.00000000005866
584,1.5375,9.260441808713074,400.0000000000265
585,1.5,9.293752006488145,400.0000000000119
586,1.6874999999999998,9.307208789953291,400.0000000000054
587,1.4875,9.316072106040076,400.0000000000026
588,1.7375,9.351900310322172,400.00000000000136
589,2.0,9.421314072473962,400.0000000000007
